Nº;Bloque;Área;Subárea;Título resumido;Norma principal;Palabras clave;Relaciones (Nº);Peso;Dificultad (1-5);Enlace BOE / oficial;Enlace recurso
14;A;Ciencias Jurídicas;Organización policial;LO 2/1986 Fuerzas y Cuerpos de Seguridad;LO 2/1986;FCS, CNP, régimen disciplinario, Consejo Policía;7,13,18,19;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1986-6859;https://www.policia.es/
15;A;Ciencias Jurídicas;Extranjería;Entrada, circulación y residencia de extranjeros;LO 4/2000; RD 557/2011;extranjería, residencia, reagrupación, menores;3,16,17;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-2000-544;https://extranjeros.inclusion.gob.es/
16;A;Ciencias Jurídicas;Extranjería;Sanciones y expulsión de extranjeros;LO 4/2000 Título III;infracciones, expulsión, devolución, trata;15,17,19,35;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-2000-544;https://extranjeros.inclusion.gob.es/
17;A;Ciencias Jurídicas;Extranjería;Protección internacional. Asilo y apátridas;Ley 12/2009;asilo, refugiado, apátrida, protección temporal;3,15,16;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-2009-17242;https://www.acnur.org/es-es
18;A;Ciencias Jurídicas;Seguridad Privada;Seguridad Privada. Empresas, personal, control;Ley 5/2014;seguridad privada, vigilantes, detectives, habilitación;13,14;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-2014-3649;https://www.policia.es/_es/colaboracion_seguridadprivada.php
19;A;Ciencias Jurídicas;Seguridad Ciudadana;LO 4/2015 Protección Seguridad Ciudadana;LO 4/2015;identificación, cacheo, sanciones, potestades policiales;5,14,16,44;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-2015-3442;https://www.policia.es/
20;A;Ciencias Jurídicas;Protección de datos;Protección de datos: RGPD, LOPDGDD y LO 7/2021;Reg. UE 2016/679; LO 3/2018; LO 7/2021;RGPD, LOPDGDD, datos personales, fines policiales;5,77;Alto;4;https://www.boe.es/buscar/doc.php?id=DOUE-L-2016-80807;https://www.aepd.es/
21;A;Ciencias Jurídicas;Infraestructuras Críticas;Protección de Infraestructuras Críticas y ciberseguridad;Ley 8/2011; RD 704/2011;PIC, CNPIC, operador crítico, ciberseguridad;75,77;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-2011-7630;https://www.cnpic.es/
22;A;Ciencias Jurídicas;Derecho Penal - Parte General;Concepto, principios y CP español;LO 10/1995 (CP);Derecho Penal, legalidad, mínima intervención;23,25,33;Alto;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;https://es.wikipedia.org/wiki/C%C3%B3digo_Penal_de_Espa%C3%B1a
23;A;Ciencias Jurídicas;Derecho Penal - Parte General;Ley penal: tiempo, espacio, personas. Extradición;CP arts. 1-9; LO 4/1985;retroactividad, extradición, inmunidad;22,24;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;https://es.wikipedia.org/wiki/Extradici%C3%B3n
24;A;Ciencias Jurídicas;Derecho Penal - Parte General;Reconocimiento mutuo penal UE. OEDE, OEP, OEI;Ley 23/2014;OEDE, euroorden, OEP, OEI;8,9,23;Medio;4;https://www.boe.es/buscar/act.php?id=BOE-A-2014-12029;https://e-justice.europa.eu/
25;A;Ciencias Jurídicas;Derecho Penal - Parte General;Delito. Elementos: tipicidad, antijuridicidad, culpabilidad;CP arts. 10-18;delito, dogmática penal, tipicidad;22,26,27,28,29;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;https://es.wikipedia.org/wiki/Teor%C3%ADa_del_delito
26;A;Ciencias Jurídicas;Derecho Penal - Parte General;Sujetos del delito. Acción y omisión. Comisión por omisión;CP art. 11;sujeto activo, bien jurídico, omisión;25,37;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
27;A;Ciencias Jurídicas;Derecho Penal - Parte General;Dolo, error de tipo, imprudencia;CP arts. 5, 12, 14;dolo, error tipo, imprudencia grave/menos grave;25,29;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
28;A;Ciencias Jurídicas;Derecho Penal - Parte General;Causas de exclusión de antijuridicidad;CP art. 20.4-7;legítima defensa, estado de necesidad, cumplimiento deber;25,29;Alto;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
29;A;Ciencias Jurídicas;Derecho Penal - Parte General;Causas de exclusión de la culpabilidad. Error prohibición;CP arts. 14, 19, 20;inimputabilidad, miedo insuperable, error prohibición;25,27,28;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
30;A;Ciencias Jurídicas;Derecho Penal - Parte General;Circunstancias modificativas: atenuantes, agravantes, parentesco;CP arts. 21-23;atenuante, agravante, parentesco;25,33;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
31;A;Ciencias Jurídicas;Derecho Penal - Parte General;Iter criminis. Tentativa. Autoría y participación;CP arts. 15-18, 27-31;tentativa, consumación, autor, cómplice;25,32;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
32;A;Ciencias Jurídicas;Derecho Penal - Parte General;Concursos. Delito continuado y delito masa;CP arts. 73-78, 8;concurso real/ideal, delito continuado;25,31;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
33;A;Ciencias Jurídicas;Derecho Penal - Parte General;Penas, medidas de seguridad, responsabilidad civil;CP arts. 32-137;pena, suspensión, libertad condicional, medidas seguridad;22,30;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
34;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Homicidio, aborto, lesiones, manipulación genética;CP arts. 138-162;homicidio, asesinato, lesiones, aborto;35,36;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
35;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Delitos contra la libertad. Odio. Tortura. Trata;CP arts. 163-177 bis;detención ilegal, amenazas, odio, trata;16,34,36,55;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
36;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Delitos contra la libertad sexual;CP arts. 178-194 bis; LO 10/2022;agresión sexual, menores, prostitución;34,35,52;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-2022-14630;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444
37;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Omisión socorro. Intimidad. Honor. Relaciones familiares;CP arts. 195-233;intimidad, propia imagen, honor, calumnia, injuria;26,52;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
38;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Patrimonio y orden socioeconómico. Hacienda. Trabajadores;CP arts. 234-318 bis;hurto, robo, estafa, blanqueo, hacienda;16,72;Alto;5;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
39;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Ordenación territorio, patrimonio histórico, medio ambiente, seguridad colectiva;CP arts. 319-385 quinquies;urbanismo, medio ambiente, incendios, seguridad vial;78,79,80;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
40;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Falsedades documentales, moneda, intrusismo;CP arts. 386-403;falsedad, intrusismo, usurpación;41,42;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
41;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Delitos contra la Administración Pública;CP arts. 404-445;prevaricación, cohecho, malversación, tráfico influencias;12,40,42;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
42;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Delitos contra la Administración de Justicia;CP arts. 446-471 bis;encubrimiento, falso testimonio, quebrantamiento condena;40,41;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
43;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Delitos contra la Constitución;CP arts. 472-543;rebelión, ultrajes, Corona, instituciones;4,5,6,44;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
44;A;Ciencias Jurídicas;Derecho Penal - Parte Especial;Orden público. Atentado. Terrorismo. Armas;CP arts. 544-606;atentado, desórdenes, terrorismo, armas, organización criminal;19,43,81;Alto;5;https://www.boe.es/buscar/act.php?id=BOE-A-1995-25444;
45;A;Ciencias Jurídicas;Derecho Procesal;Potestad jurisdiccional. Órdenes. Órganos penales;LOPJ;jurisdicción, competencia, órganos penales;46,47;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1985-12666;https://www.poderjudicial.es/
46;A;Ciencias Jurídicas;Derecho Procesal;Proceso penal. Atestado. Procedimientos;LECrim;sumario, atestado, abreviado, rápido, habeas corpus;45,47,48,49,50;Alto;5;https://www.boe.es/buscar/act.php?id=BOE-A-1882-6036;https://www.fiscal.es/
47;A;Ciencias Jurídicas;Derecho Procesal;Partes en el proceso penal. Policía judicial;LECrim; LOPJ;Ministerio Fiscal, acusación popular, policía judicial;45,46;Alto;3;https://www.boe.es/buscar/act.php?id=BOE-A-1882-6036;https://www.fiscal.es/
48;A;Ciencias Jurídicas;Derecho Procesal;Medidas cautelares. Detención. Prisión provisional;LECrim arts. 489-544 quinquies;detención, prisión provisional, derechos detenido;5,46,55;Alto;5;https://www.boe.es/buscar/act.php?id=BOE-A-1882-6036;https://www.interior.gob.es/
49;A;Ciencias Jurídicas;Derecho Procesal;Prueba penal. Indicios. Víctima. Derechos fundamentales;LECrim;prueba ilícita, indicios, declaración víctima;46,50,51;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1882-6036;
50;A;Ciencias Jurídicas;Derecho Procesal;Entrada y registro. Comunicaciones. Medios tecnológicos;LECrim arts. 545-588 octies;entrada registro, escuchas, troyano policial, registro remoto;20,46,49;Alto;5;https://www.boe.es/buscar/act.php?id=BOE-A-1882-6036;
51;A;Ciencias Jurídicas;Derecho Procesal;Estatuto de la víctima;Ley 4/2015;víctima, derechos, protección, reembolso;46,49,52,66;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-2015-4606;
52;A;Ciencias Jurídicas;Igualdad y no discriminación;Igualdad, violencia género, LGTBI, dependencia;LO 3/2007; LO 1/2004; LO 10/2022; Ley 39/2006; Ley 4/2023;igualdad, violencia género, LGTBI, dependencia;36,37,55;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-2004-21760;https://violenciagenero.igualdad.gob.es/
53;A;Ciencias Jurídicas;PRL;Prevención de Riesgos Laborales (general y CNP);Ley 31/1995; RD 39/1997; RD 2/2006; RD 67/2010;PRL, riesgos laborales, salud, CNP;12,14;Bajo;2;https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292;https://www.insst.es/
54;B;Ciencias Sociales;Pensamiento político;Corrientes políticas y sociales. Valores y antivalores;-;liberalismo, socialismo, fascismo, ecologismo, xenofobia;55,68;Medio;3;https://es.wikipedia.org/wiki/Ideolog%C3%ADa_pol%C3%ADtica;
55;B;Ciencias Sociales;Derechos Humanos;DUDH, CEDH, Convenio Tortura, MNP;DUDH 1948; CEDH;DDHH, tortura, MNP, Defensor del Pueblo;5,9,48,52;Alto;3;https://www.un.org/es/about-us/universal-declaration-of-human-rights;https://www.defensordelpueblo.es/
56;B;Ciencias Sociales;Psicología fisiológica;Bases fisiológicas. SNC, SNP, neuroendocrino, sentidos;-;SNC, encéfalo, médula, sentidos, vista, oído;57,58,59;Medio;3;https://es.wikipedia.org/wiki/Sistema_nervioso;
57;B;Ciencias Sociales;Psicología cognitiva;Atención visual y auditiva;-;atención, integración atributos;56,58;Bajo;2;https://es.wikipedia.org/wiki/Atenci%C3%B3n;
58;B;Ciencias Sociales;Psicología cognitiva;Memoria. Episódica, semántica, corto plazo. Testigos;-;memoria, amnesia, testigos, mnemotecnia;57,59,66;Medio;3;https://es.wikipedia.org/wiki/Memoria_(proceso);
59;B;Ciencias Sociales;Psicología del aprendizaje;Aprendizaje. Condicionamiento clásico, operante, observacional;-;Pavlov, Skinner, Bandura;58,60;Medio;3;https://es.wikipedia.org/wiki/Condicionamiento_cl%C3%A1sico;
60;B;Ciencias Sociales;Psicología del desarrollo;Piaget, Vygotsky. Desarrollo cognitivo, social, moral;-;Piaget, Vygotsky, Kohlberg;59,61;Medio;3;https://es.wikipedia.org/wiki/Jean_Piaget;
61;B;Ciencias Sociales;Psicología personalidad;Personalidad. Cattell, Eysenck, Big Five;-;Cattell, Eysenck, Big Five, OCEAN;60,62;Medio;3;https://es.wikipedia.org/wiki/Modelo_de_los_cinco_grandes;
62;B;Ciencias Sociales;Psicología diferencial;Herencia y ambiente. Diferencias edad y sexo;-;psicología diferencial, inteligencia, género;60,61;Bajo;2;https://es.wikipedia.org/wiki/Psicolog%C3%ADa_diferencial;
63;B;Ciencias Sociales;Psicopatología;Trastornos mentales OMS. Esquizofrenia, neurosis, asocial;CIE-11 OMS;esquizofrenia, neurosis, trastorno antisocial;61,66;Medio;3;https://icd.who.int/es;
64;B;Ciencias Sociales;Psicología social;Actitudes, estereotipos, conducta de ayuda, agresividad;-;actitud, prejuicio, atribución, agresividad;54,65,66;Medio;3;https://es.wikipedia.org/wiki/Psicolog%C3%ADa_social;
65;B;Ciencias Sociales;Psicología de grupos;Grupos. Liderazgo. Influencia. Decisión grupal;-;grupo, liderazgo, productividad, decisión;64;Medio;3;https://es.wikipedia.org/wiki/Din%C3%A1mica_de_grupos;
66;B;Ciencias Sociales;Criminología;Anomia, desviación, delincuencia, víctima;-;control social, victimología, atribución;51,63,64;Alto;4;https://es.wikipedia.org/wiki/Criminolog%C3%ADa;
67;B;Ciencias Sociales;Psicología emergencias;Conducta en emergencias. Catástrofes. Comunicación con víctimas;-;crisis, catástrofe, PAP, primeros auxilios psicológicos;51,66;Medio;3;https://www.proteccioncivil.es/;
68;B;Ciencias Sociales;Sociología;Cambio social. Globalización. Movimientos sociales;-;cambio social, globalización, tecnología;54,64;Bajo;2;https://es.wikipedia.org/wiki/Cambio_social;
69;C;Técnico-Científicas;Metodología científica;Método científico. Correlacional y experimental;-;método científico, laboratorio, campo;70,71;Bajo;2;https://es.wikipedia.org/wiki/M%C3%A9todo_cient%C3%ADfico;
70;C;Técnico-Científicas;Metodología en CCSS;Instrumentos: encuestas, test, observación. Validez y fiabilidad;-;encuesta, test, validez, fiabilidad;69,71;Medio;3;https://es.wikipedia.org/wiki/Validez_(psicometr%C3%ADa);
71;C;Técnico-Científicas;Estadística;Estadística descriptiva, muestreo, probabilidad;-;media, mediana, varianza, probabilidad, muestreo;69,70;Alto;4;https://www.ine.es/;https://es.wikipedia.org/wiki/Estad%C3%ADstica
72;C;Técnico-Científicas;Contabilidad;Contabilidad. Balance, PyG, IVA, IS;PGC RD 1514/2007;activo, pasivo, balance, IVA, IS;38;Medio;4;https://www.boe.es/buscar/act.php?id=BOE-A-2007-19884;https://www.icac.gob.es/
73;C;Técnico-Científicas;Redes;Redes. OSI, TCP/IP, dispositivos, IPv4/IPv6, WiFi;-;OSI, TCP/IP, router, firewall, IPv4, IPv6, WPA2;74,75,77;Alto;4;https://es.wikipedia.org/wiki/Modelo_OSI;https://www.incibe.es/
74;C;Técnico-Científicas;Sistemas Operativos;SO. Windows, Linux, MacOS, iOS, Android. Sistemas de archivos;-;SO, Linux, Windows, iOS, Android, sistemas archivos;73,77;Medio;3;https://es.wikipedia.org/wiki/Sistema_operativo;
75;C;Técnico-Científicas;Ciberseguridad;Ciberdelincuencia. Malware, phishing, ransomware, APT, Kill Chain;-;phishing, malware, ransomware, APT, Cyber Kill Chain;21,73,76,77;Alto;5;https://www.incibe.es/;https://www.ccn-cert.cni.es/
76;C;Técnico-Científicas;Inteligencia;Inteligencia. Ciclo. OSINT. Web, Deep, Dark. Big Data;-;OSINT, dark web, big data, cloud, ciclo inteligencia;73,75,77;Medio;4;https://www.cni.es/;https://www.incibe.es/
77;C;Técnico-Científicas;Seguridad Información;Seguridad de la Información. CID. Riesgos y amenazas;ENS RD 311/2022; ISO 27001;confidencialidad, integridad, disponibilidad, SGSI;20,21,73,75,76;Alto;4;https://www.ccn-cert.cni.es/;https://www.boe.es/buscar/act.php?id=BOE-A-2022-7191
78;C;Técnico-Científicas;Tráfico;Documentación vehículo y conductor. Seguro. ITV;RDLeg 6/2015; RD 818/2009;permiso conducir, ITV, seguro obligatorio;39,79,80;Bajo;2;https://www.boe.es/buscar/act.php?id=BOE-A-2015-11722;https://www.dgt.es/
79;C;Técnico-Científicas;Tráfico;Procedimiento sancionador. Accidentes. Actuación policial;RDLeg 6/2015; RD 320/1994;sanción tráfico, accidente, atestado tráfico;78,80;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-2015-11722;https://www.dgt.es/
80;C;Técnico-Científicas;Tráfico;Vehículo prioritario. Conducción de emergencia;RD 1428/2003 (RGC) arts. 67-69;prioritario, emergencia, señales luminosas;78,79;Bajo;2;https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514;https://www.dgt.es/
81;C;Técnico-Científicas;Armamento;Armas de fuego. Reglamento Armas. Balística;RD 137/1993 (Reglamento de Armas);arma fuego, cartucho, balística, categorías armas;44;Medio;4;https://www.boe.es/buscar/act.php?id=BOE-A-1993-6202;https://www.guardiacivil.es/es/servicios/armasyexplosivo/
